Production_budget,Worldwide_gross
14000000,1000000
7000000,1000000
185000000,1000742751
800000,1001437
1300000,1005840
750000,1011535
200000000,1017003568
3000000,1022453
4500000,1022649
150000000,1023784195
200000000,1025363627
200000000,1025491110
115000000,1027044677
500000,1027228
4500000,1027760
225000,1032075
6500000,1033810
75000000,1034639202
1000000,1036
63000000,1045627627
379000000,1045663875
5000000,1050861
182000000,1050959216
10000000,1051907
200000000,1056057273
20000000,1065907
225000000,1066215812
10100000,1066555
200000000,1068879522
9000000,1069318
10000000,1069454
55000000,1072722593
200000000,1073394813
275000000,1073469600
5000000,1075009
2000000,1075504
12000000,1080362
7700000,1080428
230000000,1082228107
26000000,1083350
1000000,1087521
12500000,1100287
210000000,1104054072
15000000,1108775
225000,1109276
700000,1110511
200000000,1110526981
500000,1111615
94000000,1120224046
195000000,1123794079
1500000,1126258
160000000,1127597718
5500000,1128468
175000000,1129729839
500000,1131261
700000,1140965
160000000,1143966520
55000000,1147784
10000000,1147871
15000000,1148578
13000000,1152117
2000000,1152411
250000000,1153284349
1000000,1156309
250000,1157672
4000000,1158877
74000000,1159631140
700000,1160
200000,1161843
400000,1162014
10000000,1165102
200000,1165996
20000000,1167092
500000,1167524
3750000,1178175
1000000,1179462
12000000,1188194
25000000,1190003
18000000,1199510
4357373,1200000
12000000,1200346
200000000,1215392272
200000,1217
4500000,1217307
1000000,1227316
23000,1227508
10000000,1230542
15500000,1237615
250000000,1238764765
1000000,1239174
8000000,1241397
9000000,1242
200000000,1242805359
7000000,1246141
50000000,1250617
500000,1250798
160000000,1258954704
1400000,1261792
7000000,1268346
150000000,1268746174
2500000,1269705
1750000,1278471
1780000,1285876
6000000,1290920
450000,1297745
10000000,1299855
18000000,1305114
170000000,1308470988
780000,1310470
35000000,1320043
1800000,1322161
3000000,1324299
200000000,1332539889
2400000,1333891
12000,1336
5000,1338
125000000,1341653717
200000000,1346103376
500000,1348750
8500000,1353287
8300000,1353296
19000000,1353824
1000000,1355079
1100000,1355728
500000,1355967
100000,1358
6000000,1365108
250000,1366235
323000,1373407
13000000,1375635
2100000,1381824
850000,1386088
2500000,1392649
365000000,1396099202
3500000,1396395
15000000,1405032
12500000,1412799
25000000,1415656
300000,1416046
6000000,1418304
2400000,1420418
1000000,1425707
6000000,1427656
7000000,1429453
2000000,1433319
1100000,1436000
1900000,1445140
650000,1447
150000000,1447549711
16000000,1467278
1000000,1471090
1000000,1492895
35000000,1500000
4500000,1500000
825000,1500711
5000000,1504960
12000000,1513388
225000000,1515100211
190000000,1518722794
77500000,1521672
5000000,1526697
10000000,1537479
1500000,1541131
27000000,1545064
7000000,1545121
1000000,1549000
14000000,1553556
16000000,1573603
190000,1577585
36000000,1578543
15000000,1590246
12000000,1594955
400000,1600566
1500000,1605139
10400000,1610194
225000,1611592
12500000,1612957
1000000,1615787
10000000,1616353
18000000,1619153
1500000,1619602
560000,1626784
180000,1628579
1400000,1632
9000000,1635241
10000000,1638202
10000000,1641788
10000000,1642939
20000000,1646664
1300000,1649338
260000000,1656943394
15000000,1658706
2000000,1660865
7000000,1661464
2000000,1663296
40000000,1663785
215000000,1670400637
6000000,1673635
16000000,1685403
16000000,1686429
2500000,1687548
30000000,1692644
5200000,1695126
24000000,1696765
20000000,1703281
4700000,1705139
300000,1711
2000000,1720833
7000000,1732228
1200000,1733980
1300000,1738663
6500000,1744952
15500000,1757694
15000000,1768976
350000,1772979
500000,1778
12000000,1779284
312000,1788168
7500000,1788324
55000000,1807990
500000,1822
12000000,1828400
1500000,1840248
16000000,1844228
1000000,1849392
7000000,1857458
20000,1860
2000000,1869928
10000000,1884251
3000000,1887554
7000000,1891936
14000000,1903952
4000000,1919197
